CustomerId,split,Exited
15565701,Test,0
15566111,Test,0
15566251,Test,1
15566958,Test,0
15567832,Test,0
15568025,Test,0
15568982,Test,0
15569247,Test,0
15570835,Test,1
15571002,Test,0
15573280,Test,0
15573893,Test,0
15575417,Test,0
15575694,Test,0
15576044,Test,0
15576126,Test,0
15576824,Test,1
15577478,Test,0
15579208,Test,0
15580146,Test,0
15581197,Test,0
15582325,Test,1
15582492,Test,0
15582944,Test,0
15583090,Test,0
15583212,Test,0
15583668,Test,0
15585388,Test,0
15585451,Test,0
15585533,Test,0
15585768,Test,0
15586585,Test,0
15587233,Test,1
15587451,Test,0
15588219,Test,0
15588670,Test,1
15588701,Test,0
15589018,Test,0
15589358,Test,0
15589380,Test,0
15589493,Test,0
15590228,Test,0
15590241,Test,1
15590606,Test,0
15591357,Test,0
15592389,Test,0
15592583,Test,1
15592765,Test,0
15593014,Test,0
15593365,Test,0
15594349,Test,0
15594898,Test,1
15594902,Test,0
15595039,Test,1
15595324,Test,1
15595388,Test,0
15595883,Test,0
15596939,Test,0
15597901,Test,0
15599195,Test,0
15599251,Test,0
15600991,Test,1
15602844,Test,0
15602929,Test,0
15603594,Test,0
15604119,Test,0
15606149,Test,0
15606613,Test,1
15607040,Test,0
15609824,Test,1
15611029,Test,0
15612187,Test,0
15612966,Test,1
15614215,Test,0
15614929,Test,0
15615456,Test,1
15616280,Test,0
15616931,Test,0
15617136,Test,0
15617197,Test,1
15617705,Test,0
15619857,Test,0
15619935,Test,0
15619955,Test,1
15620344,Test,0
15620505,Test,0
15621075,Test,0
15621629,Test,0
15621893,Test,0
15623430,Test,0
15623647,Test,0
15623791,Test,0
15624188,Test,0
15624391,Test,0
15626485,Test,0
15626742,Test,0
15627360,Test,1
15628007,Test,0
15628034,Test,0
15628674,Test,1
15628813,Test,0
15629150,Test,0
15629575,Test,1
15630419,Test,0
15631189,Test,1
15631848,Test,0
15631927,Test,0
15632256,Test,0
15633112,Test,1
15633260,Test,0
15633283,Test,0
15633419,Test,0
15634141,Test,0
15634602,Test,1
15634896,Test,0
15635240,Test,0
15636238,Test,0
15636428,Test,1
15637476,Test,1
15638355,Test,1
15638424,Test,0
15638806,Test,0
15639277,Test,0
15640635,Test,0
15640905,Test,1
15640953,Test,0
15641009,Test,0
15641690,Test,0
15641850,Test,0
15642004,Test,0
15642394,Test,0
15642468,Test,0
15642833,Test,0
15642885,Test,0
15643024,Test,1
15644200,Test,1
15644621,Test,0
15644765,Test,0
15645103,Test,0
15645463,Test,0
15645772,Test,0
15646302,Test,0
15646513,Test,1
15646817,Test,0
15647474,Test,0
15650670,Test,0
15651052,Test,1
15652266,Test,0
15654409,Test,0
15655007,Test,0
15655238,Test,0
15655339,Test,0
15657566,Test,0
15658306,Test,0
15658459,Test,0
15658693,Test,0
15659098,Test,0
15660429,Test,1
15662403,Test,0
15663830,Test,0
15664610,Test,1
15664754,Test,1
15664772,Test,0
15664881,Test,0
15665834,Test,0
15666633,Test,0
15667896,Test,0
15668385,Test,0
15668886,Test,0
15668893,Test,0
15669342,Test,0
15669899,Test,1
15670914,Test,0
15671209,Test,0
15672692,Test,0
15673570,Test,0
15673908,Test,0
15674148,Test,1
15674851,Test,0
15675896,Test,1
15676242,Test,1
15676521,Test,0
15679283,Test,0
15680855,Test,0
15681506,Test,0
15681554,Test,0
15682472,Test,0
15682563,Test,0
15682773,Test,0
15684196,Test,1
15684801,Test,1
15685372,Test,1
15685500,Test,0
15685997,Test,0
15686302,Test,0
15686345,Test,0
15686436,Test,0
15688713,Test,0
15689147,Test,0
15689168,Test,0
15689514,Test,1
15692991,Test,0
15693203,Test,0
15693468,Test,0
15694296,Test,0
15694506,Test,0
15694946,Test,0
15695585,Test,0
15695699,Test,0
15695846,Test,0
15696674,Test,1
15697311,Test,1
15697879,Test,0
15698321,Test,0
15698619,Test,0
15699284,Test,0
15699389,Test,0
15699450,Test,0
15701164,Test,0
15701376,Test,0
15702298,Test,1
15702968,Test,0
15703399,Test,0
15703793,Test,1
15704769,Test,0
15706163,Test,1
15706587,Test,0
15706899,Test,0
15708063,Test,1
15709368,Test,0
15709476,Test,0
15709487,Test,0
15709846,Test,0
15710164,Test,1
15710206,Test,0
15710456,Test,0
15710743,Test,1
15711378,Test,0
15711455,Test,1
15711834,Test,1
15713267,Test,0
15713379,Test,0
15713483,Test,1
15714567,Test,0
15714634,Test,0
15714877,Test,0
15714993,Test,0
15716164,Test,0
15719348,Test,1
15719561,Test,0
15720559,Test,1
15720702,Test,1
15721292,Test,0
15722364,Test,0
15723006,Test,0
15723008,Test,1
15724296,Test,0
15724334,Test,0
15724563,Test,0
15725664,Test,0
15725698,Test,0
15725737,Test,0
15726088,Test,0
15726490,Test,1
15726791,Test,1
15727299,Test,1
15727696,Test,0
15727868,Test,1
15729763,Test,0
15730460,Test,0
15731507,Test,0
15732778,Test,0
15733114,Test,0
15733119,Test,0
15733883,Test,0
15736534,Test,0
15736879,Test,0
15737051,Test,0
15737310,Test,0
15737506,Test,0
15737741,Test,1
15738148,Test,1
15738174,Test,0
15739046,Test,0
15741336,Test,1
15741728,Test,0
15742269,Test,0
15742378,Test,0
15742613,Test,0
15742632,Test,0
15744529,Test,0
15744607,Test,1
15745843,Test,0
15746326,Test,0
15746451,Test,0
15746749,Test,0
15746970,Test,0
15747265,Test,0
15747503,Test,1
15748123,Test,0
15749019,Test,0
15749851,Test,0
15750658,Test,0
15750765,Test,0
15751158,Test,1
15752463,Test,0
15753719,Test,0
15754999,Test,0
15755678,Test,1
15756056,Test,0
15756305,Test,0
15756668,Test,0
15756932,Test,0
15757535,Test,1
15757568,Test,0
15758482,Test,0
15759805,Test,0
15760102,Test,0
15762937,Test,0
15763055,Test,0
15763171,Test,0
15763612,Test,0
15764174,Test,0
15764618,Test,0
15766575,Test,1
15766776,Test,0
15767432,Test,0
15767793,Test,0
15768006,Test,0
15768095,Test,0
15769254,Test,0
15770030,Test,0
15770435,Test,0
15770498,Test,0
15771086,Test,0
15772243,Test,1
15773792,Test,1
15774179,Test,0
15774491,Test,0
15775082,Test,0
15776233,Test,1
15776454,Test,1
15776467,Test,0
15777076,Test,0
15777553,Test,1
15777639,Test,0
15777904,Test,0
15778135,Test,0
15779059,Test,0
15779659,Test,0
15780650,Test,0
15781210,Test,0
15781465,Test,0
15781586,Test,0
15781802,Test,1
15782574,Test,0
15782591,Test,0
15782659,Test,0
15782806,Test,0
15783958,Test,0
